,id,name,ruby,bust,cup,waist,hip,height,birthday,blood_type,hobby,prefectures,imageURL.small,imageURL.large,listURL.digital,listURL.monthly,listURL.mono,listURL.rental
28,113,スターシャ,すたーしゃ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D113%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D113%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D113%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D113%2F&af_id=souhub-990&ch=api
29,114,ステイシー バレンタイン,すていしー ばれんたいん,89,,65,91,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D114%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D114%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D114%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D114%2F&af_id=souhub-990&ch=api
30,115,せとうちあすか,せとうちあすか,87,D,56,88,158,1981-05-20,O,ショッピング、バスケット,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D115%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D115%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D115%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D115%2F&af_id=souhub-990&ch=api
31,116,セリーヌ,せりーぬ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D116%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D116%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D116%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D116%2F&af_id=souhub-990&ch=api
32,117,セレステ,せれすて,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D117%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D117%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D117%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D117%2F&af_id=souhub-990&ch=api
33,118,ソフィ,そふぃ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D118%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D118%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D118%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D118%2F&af_id=souhub-990&ch=api
34,119,ターニャ,たーにゃ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D119%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D119%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D119%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D119%2F&af_id=souhub-990&ch=api
35,120,北沢沙耶,きたざわさや,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D120%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D120%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D120%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D120%2F&af_id=souhub-990&ch=api
36,121,ターニャ ダニエル,たーにゃ だにえる,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D121%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D121%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D121%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D121%2F&af_id=souhub-990&ch=api
37,122,ターラ,たーら,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D122%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D122%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D122%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D122%2F&af_id=souhub-990&ch=api
38,123,ダニエラ ラッシュジョディー,だにえら らっしゅじょでぃー,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D123%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D123%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D123%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D123%2F&af_id=souhub-990&ch=api
39,124,タビサ スティーブンス,たびさ すてぃーぶんす,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D124%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D124%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D124%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D124%2F&af_id=souhub-990&ch=api
40,206,レイラ,れいら,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D206%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D206%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D206%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D206%2F&af_id=souhub-990&ch=api
41,207,ともさかひかり,ともさかひかり,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D207%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D207%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D207%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D207%2F&af_id=souhub-990&ch=api
42,208,レナ ラモン,れな らもん,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D208%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D208%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D208%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D208%2F&af_id=souhub-990&ch=api
43,209,レナ ロマーネ,れな ろまーね,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D209%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D209%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D209%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D209%2F&af_id=souhub-990&ch=api
44,210,ひかるまこと,ひかるまこと,83,C,56,83,,1984-12-13,A,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/hikaru_makoto.jpg,http://pics.dmm.co.jp/mono/actjpgs/hikaru_makoto.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D210%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D210%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D210%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D210%2F&af_id=souhub-990&ch=api
45,211,ローラ,ろーら,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D211%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D211%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D211%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D211%2F&af_id=souhub-990&ch=api
46,212,ロビン フォスター,ろびん ふぉすたー,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D212%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D212%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D212%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D212%2F&af_id=souhub-990&ch=api
47,213,わかなまどか,わかなまどか,83,B,58,86,,,A,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/wakana_madoka.jpg,http://pics.dmm.co.jp/mono/actjpgs/wakana_madoka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D213%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D213%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D213%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D213%2F&af_id=souhub-990&ch=api
48,214,亜希TYPE1,あきたいぷわん,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D214%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D214%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D214%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D214%2F&af_id=souhub-990&ch=api
49,215,亜希TYPE2,あきたいぷつー,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D215%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D215%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D215%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D215%2F&af_id=souhub-990&ch=api
50,216,渋谷亜美,しぶやあみ,86,D,58,86,,1984-10-16,O,ショッピング、ダンス,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/sibuya_ami.jpg,http://pics.dmm.co.jp/mono/actjpgs/sibuya_ami.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D216%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D216%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D216%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D216%2F&af_id=souhub-990&ch=api
51,217,亜美果あゆ,あみかあゆ,92,F,59,87,,1981-01-23,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D217%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D217%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D217%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D217%2F&af_id=souhub-990&ch=api
52,218,田辺真莉,たなべまり,85,,57,86,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/tanabe_mari.jpg,http://pics.dmm.co.jp/mono/actjpgs/tanabe_mari.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D218%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D218%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D218%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D218%2F&af_id=souhub-990&ch=api
53,219,阿久津美緒,あくつみお,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D219%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D219%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D219%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D219%2F&af_id=souhub-990&ch=api
54,220,阿久津良子,あくつりょうこ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D220%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D220%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D220%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D220%2F&af_id=souhub-990&ch=api
55,221,阿部尚子,あべなおこ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D221%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D221%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D221%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D221%2F&af_id=souhub-990&ch=api
56,222,阿部麗子,あべれいこ,80,,57,86,,,A,スポーツジムに行く、音楽鑑賞,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D222%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D222%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D222%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D222%2F&af_id=souhub-990&ch=api
